,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
305,31524,38.907444,-76.986813,Montello Ave & Holbrook Terr NE,0,0,0,0,0,0,0,0,192,4586
306,31525,38.906299,-76.983221,Trinidad Rec Center,0,0,0,0,0,0,0,0,0,1479
307,31526,38.92427383333333,-76.98605816666667,Rhode Island & Montana Ave NE,0,0,0,0,0,0,0,0,0,769
308,31527,38.912524,-77.008798,North Capitol & R St NE,0,0,0,0,0,0,0,0,0,2606
309,31528,38.9387375,-76.99723983333334,John McCormack Rd NE,0,0,0,0,0,0,0,0,0,371
310,31529,38.924144,-77.002098,Edgewood Rec Center,0,0,0,0,0,0,0,0,0,566
311,31530,38.910993,-76.985854,Capitol Ave & Kendall St NE,0,0,0,0,0,0,0,0,0,0
312,31600,38.903040000000004,-77.01902700000001,5th & K St NW,1778,18066,23785,25576,24814,27965,30067,30431,27048,21935
313,31601,38.8896,-76.9769,19th & East Capitol St SE,237,3044,4433,4575,5901,5943,5896,6894,5282,5433
314,31602,38.9308,-77.0315,Park Rd & Holmead Pl NW,2420,18172,23347,24411,24242,23567,20503,16942,15514,13438
315,31603,38.90574,-77.00544649999999,1st & M St NE,914,12906,20565,20063,22725,27023,28119,31338,31630,31545
316,31604,38.899408,-77.015289,3rd & H St NW,1192,12535,18619,18737,11180,10778,10280,10069,8900,7688
317,31605,38.8851,-77.0023,3rd & D St SE,1191,13066,17583,17108,14675,13118,12251,10212,9766,9259
318,31606,38.8803,-76.9862,Potomac & Pennsylvania Ave SE,856,7945,11754,11447,10225,9430,9123,9603,8833,8254
319,31607,38.882915000000004,-76.98790600000001,13th & E St SE,736,7436,10023,10548,10668,10306,9344,8710,5229,3961
320,31608,38.8792,-76.9953,8th & Eye St SE / Barracks Row,546,5051,6332,6842,6282,6716,6550,6937,6524,6107
321,31609,38.878693,-77.023054,Maine Ave & 7th St SW,390,5581,5875,6176,5767,5941,5962,9067,13085,13682
322,31610,38.8870305,-76.99680649999999,Eastern Market / 7th & North Carolina Ave SE,1029,11966,18251,17916,17095,15856,15252,15586,13524,13071
323,31611,38.900426,-76.98825,13th & H St NE,657,11004,12964,12661,14062,15576,13592,14407,12905,12352
324,31612,38.894758,-76.997114,D St & Maryland Ave NE,0,0,14899,16885,16775,15674,13107,13051,12219,11064
325,31613,38.88430666666667,-76.99464916666666,Eastern Market Metro / Pennsylvania Ave & 8th St SE,2080,23002,33027,34773,33740,31277,32103,32404,31111,29298
326,31614,38.899983,-76.991383,11th & H St NE,0,214,10861,12006,11198,10442,9530,9896,8862,8930
327,31615,38.899972,-76.998347,6th & H St NE,0,248,10702,12825,11542,14078,13805,19543,20062,20346
328,31616,38.900412,-77.001949,3rd & H St NE,678,11661,13175,14395,22061,20619,19716,20103,17275,15537
329,31617,38.90052933333333,-76.98314633333334,Bladensburg Rd & Benning Rd NE,136,3693,5079,5520,5778,6537,5213,5276,5168,3419
330,31618,38.889955,-77.000349,4th & East Capitol St NE,752,12975,18130,18459,16888,16428,16571,15938,12562,10986
331,31619,38.890461,-76.988355,Lincoln Park / 13th & East Capitol St NE ,1344,17351,24098,20856,17640,17685,17268,17759,15858,15134
332,31620,38.897263,-77.01928166666667,5th & F St NW,1746,14942,15822,15361,14382,15085,15310,16415,14185,12097
333,31621,38.895344,-77.01610600000001,4th & D St NW / Judiciary Square,0,3471,10424,9538,8701,8925,10586,10660,9147,8658
334,31622,38.894832,-76.987633,13th & D St NE,674,10550,15549,15452,14237,14027,12508,13076,11778,12169
